          ;       24036;   ;Filtro    ;Terminado                               ;13052015      ;165617;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       24036;   ;sanitiza  ;inicio                                  ;13052015      ;165617;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       24036;   ;sanitiza  ;Array                                   ;13052015      ;165617;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       24036;   ;sanitiza  ;Fin                                     ;13052015      ;165617;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1554177971;       24036;   ;pago      ;inicio                                  ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1554177971;       24036;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165617;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;       25674;   ;resultado ;Desencriptando                          ;13052015      ;165643;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       25674;   ;resultado ;Validacion                              ;13052015      ;165643;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       25674;   ;resultado ;351                                     ;13052015      ;165643;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       25674;   ;resultado ;351                                     ;13052015      ;165643;200.10.12.55   ;OK ;                    ;http://cccchile.cl/modules/webpay/cierre_compra.php                     
1554177971;       25674;   ;transacc  ;1554177971                              ;13052015      ;165643;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
1554177971;       25674;   ;resultado ;logro abrir_conexion                    ;13052015      ;165643;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
1554177971;       25674;   ;transacc  ;1554177971                              ;13052015      ;165643;200.10.12.55   ;OK ;597026007976        ;POST a url http://cccchile.cl/modules/webpay/cierre_compra.php          
1554177971;       25674;   ;transacc  ;1554177971                              ;13052015      ;165643;200.10.12.55   ;OK ;597026007976        ;mensaje enviado                                                         
          ;       25674;   ;resultado ;351                                     ;13052015      ;165644;200.10.12.55   ;OK ;                    ;tienda NO acepto transaccion                                            
          ;       25674;   ;resultado ;351                                     ;13052015      ;165644;200.10.12.55   ;OK ;                    ;respuesta enviada a TBK (ERR)                                           
1554177971;       25674;   ;resultado ;datoscom                                ;13052015      ;165644;200.10.12.55   ;Ok ;597026007976        ;Error al obtener ack (46)                                               
          ;       25674;   ;resultado ;351                                     ;13052015      ;165644;200.10.12.55   ;ERR;                    ;46                                                                      
          ;        1271;   ;Filtro    ;Inicio                                  ;13052015      ;165850;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;        1271;   ;Filtro    ;tbk_param.txt                           ;13052015      ;165850;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;        1271;   ;Filtro    ;Terminado                               ;13052015      ;165850;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        1271;   ;sanitiza  ;inicio                                  ;13052015      ;165850;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        1271;   ;sanitiza  ;Array                                   ;13052015      ;165850;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        1271;   ;sanitiza  ;Fin                                     ;13052015      ;165850;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1554330118;        1271;   ;pago      ;inicio                                  ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1554330118;        1271;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165850;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
